CONTRACT,TENURE,TECHSUPPORT,INTERNETSERVICE,ONLINESECURITY,DEVICEPROTECTION,MONTHLYCHARGES,PAYMENTMETHOD,STREAMINGMOVIES,ONLINEBACKUP,CHURN
One year,49,Yes,DSL,Yes,No,35.8,Credit card (automatic),No,No,0
Month-to-month,1,No internet service,No,No internet service,No internet service,20.05,Mailed check,No internet service,No internet service,0
Month-to-month,7,No,Fiber optic,No,Yes,84.35,Electronic check,No,No,0
One year,27,No,Fiber optic,Yes,Yes,110.5,Bank transfer (automatic),Yes,Yes,0
One year,37,No,Fiber optic,No,No,91.2,Credit card (automatic),Yes,No,0
Month-to-month,63,No,Fiber optic,Yes,Yes,100.55,Electronic check,No,Yes,1
Month-to-month,31,Yes,Fiber optic,Yes,Yes,89.3,Electronic check,No,No,0
Month-to-month,50,No,Fiber optic,No,Yes,103.85,Bank transfer (automatic),Yes,Yes,1
Month-to-month,32,No,Fiber optic,No,Yes,81.1,Credit card (automatic),No,No,0
Month-to-month,1,No,DSL,No,No,24.6,Electronic check,No,No,1
One year,63,Yes,Fiber optic,No,No,81.2,Credit card (automatic),No,No,0
Month-to-month,30,No,Fiber optic,Yes,No,94.3,Credit card (automatic),Yes,Yes,0
Two year,71,Yes,Fiber optic,Yes,Yes,116.1,Bank transfer (automatic),Yes,Yes,0
Two year,53,No,Fiber optic,No,Yes,105.55,Electronic check,Yes,Yes,0
Month-to-month,12,Yes,Fiber optic,Yes,No,98.9,Bank transfer (automatic),Yes,No,1
Month-to-month,50,No,Fiber optic,Yes,No,94.4,Credit card (automatic),Yes,Yes,0
Month-to-month,2,No internet service,No,No internet service,No internet service,19.5,Mailed check,No internet service,No internet service,0
Month-to-month,9,No,Fiber optic,No,Yes,98.3,Credit card (automatic),Yes,No,1
Month-to-month,17,No,Fiber optic,Yes,No,93.85,Electronic check,Yes,No,1
One year,56,No,Fiber optic,Yes,Yes,105.6,Credit card (automatic),Yes,Yes,0
Two year,67,No,DSL,Yes,Yes,81.35,Credit card (automatic),Yes,Yes,0
Month-to-month,9,No,Fiber optic,No,Yes,100.5,Electronic check,Yes,No,1
Month-to-month,4,No,DSL,No,No,56.4,Electronic check,No,No,0
One year,19,Yes,DSL,No,No,65.35,Bank transfer (automatic),Yes,Yes,0
Month-to-month,8,No internet service,No,No internet service,No internet service,19.95,Mailed check,No internet service,No internet service,0
Two year,71,Yes,Fiber optic,No,Yes,111.25,Electronic check,Yes,Yes,0
Month-to-month,10,No,Fiber optic,No,No,72.85,Electronic check,No,Yes,1
Month-to-month,15,No,Fiber optic,No,No,89.0,Credit card (automatic),No,Yes,0
One year,72,No,Fiber optic,Yes,Yes,106.1,Bank transfer (automatic),Yes,No,0
One year,12,No internet service,No,No internet service,No internet service,20.05,Credit card (automatic),No internet service,No internet service,0
Two year,72,No internet service,No,No internet service,No internet service,25.2,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,1,No,Fiber optic,No,No,73.55,Electronic check,No,No,1
Month-to-month,23,No,Fiber optic,Yes,No,75.4,Bank transfer (automatic),No,No,0
Two year,72,Yes,DSL,Yes,Yes,65.55,Bank transfer (automatic),Yes,Yes,0
Month-to-month,26,No,Fiber optic,No,Yes,80.7,Electronic check,No,No,0
One year,21,Yes,Fiber optic,No,Yes,104.55,Mailed check,Yes,Yes,0
One year,60,No internet service,No,No internet service,No internet service,24.15,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,12,No internet service,No,No internet service,No internet service,20.45,Mailed check,No internet service,No internet service,0
Month-to-month,16,No,Fiber optic,No,No,75.4,Electronic check,No,No,0
One year,63,No,DSL,Yes,No,79.7,Credit card (automatic),Yes,Yes,0
Month-to-month,22,No,Fiber optic,Yes,No,81.7,Electronic check,No,Yes,0
Month-to-month,32,Yes,DSL,Yes,Yes,76.3,Bank transfer (automatic),Yes,Yes,0
Month-to-month,3,No,Fiber optic,No,No,79.4,Electronic check,No,Yes,1
Month-to-month,13,No,Fiber optic,No,Yes,81.15,Electronic check,No,Yes,1
Two year,68,Yes,Fiber optic,No,No,103.75,Credit card (automatic),Yes,Yes,0
One year,30,No,Fiber optic,No,Yes,86.45,Electronic check,Yes,No,0
Month-to-month,16,No,Fiber optic,No,No,75.1,Bank transfer (automatic),No,Yes,0
Two year,33,Yes,Fiber optic,No,No,80.6,Bank transfer (automatic),No,Yes,0
Two year,72,No internet service,No,No internet service,No internet service,19.3,Credit card (automatic),No internet service,No internet service,0
Month-to-month,4,No,Fiber optic,No,No,84.6,Electronic check,Yes,No,1
One year,12,Yes,DSL,Yes,No,33.6,Mailed check,No,No,0
Month-to-month,4,No,Fiber optic,No,No,83.25,Electronic check,No,No,0
Month-to-month,6,No,Fiber optic,Yes,No,79.05,Electronic check,No,No,1
One year,65,Yes,Fiber optic,No,Yes,108.05,Credit card (automatic),Yes,Yes,0
Month-to-month,15,No internet service,No,No internet service,No internet service,19.9,Mailed check,No internet service,No internet service,0
One year,24,No internet service,No,No internet service,No internet service,21.05,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,13,No,DSL,No,No,30.15,Electronic check,No,Yes,0
Month-to-month,24,No,Fiber optic,No,No,79.85,Credit card (automatic),Yes,No,0
Two year,72,Yes,DSL,Yes,Yes,65.5,Bank transfer (automatic),Yes,Yes,0
Month-to-month,54,No,Fiber optic,Yes,No,104.1,Bank transfer (automatic),Yes,Yes,0
Month-to-month,3,No,Fiber optic,No,No,74.4,Bank transfer (automatic),No,No,1
Month-to-month,4,No internet service,No,No internet service,No internet service,20.5,Mailed check,No internet service,No internet service,0
Month-to-month,32,No,Fiber optic,No,Yes,91.35,Mailed check,No,No,0
Month-to-month,35,No,Fiber optic,No,Yes,99.05,Electronic check,Yes,No,1
Two year,35,No internet service,No,No internet service,No internet service,20.5,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,2,No,DSL,No,No,44.95,Mailed check,No,No,1
Month-to-month,8,No,Fiber optic,No,No,75.6,Electronic check,No,Yes,0
Month-to-month,22,Yes,DSL,Yes,No,55.1,Mailed check,No,No,0
Month-to-month,15,Yes,DSL,Yes,Yes,58.95,Electronic check,No,No,0
Month-to-month,22,No,Fiber optic,No,No,95.1,Electronic check,Yes,No,0
Month-to-month,1,No,DSL,No,No,44.7,Credit card (automatic),No,No,1
Two year,71,No internet service,No,No internet service,No internet service,25.45,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,4,No,DSL,Yes,Yes,56.75,Electronic check,No,No,0
Month-to-month,25,Yes,DSL,Yes,Yes,81.75,Bank transfer (automatic),Yes,Yes,0
Month-to-month,32,No,Fiber optic,No,No,86.1,Electronic check,No,Yes,0
Month-to-month,7,No,DSL,Yes,No,29.8,Bank transfer (automatic),No,No,0
One year,17,No internet service,No,No internet service,No internet service,20.5,Mailed check,No internet service,No internet service,0
Month-to-month,8,No,DSL,Yes,No,60.9,Bank transfer (automatic),No,No,0
Two year,56,Yes,DSL,Yes,Yes,73.25,Bank transfer (automatic),Yes,No,0
Month-to-month,1,No,DSL,No,No,45.7,Mailed check,No,No,1
Month-to-month,8,Yes,Fiber optic,Yes,No,100.3,Credit card (automatic),Yes,No,1
Month-to-month,7,No internet service,No,No internet service,No internet service,19.25,Electronic check,No internet service,No internet service,1
Month-to-month,3,No internet service,No,No internet service,No internet service,20.85,Mailed check,No internet service,No internet service,0
Two year,71,Yes,DSL,Yes,Yes,77.35,Credit card (automatic),No,Yes,0
Month-to-month,2,No,Fiber optic,No,No,96.0,Electronic check,Yes,No,1
Month-to-month,1,No,Fiber optic,No,No,90.55,Electronic check,Yes,No,1
Month-to-month,49,No,Fiber optic,Yes,No,93.85,Bank transfer (automatic),No,Yes,0
Two year,58,Yes,DSL,No,Yes,70.1,Bank transfer (automatic),No,Yes,0
Month-to-month,44,No,DSL,No,No,30.35,Electronic check,No,Yes,1
Two year,59,Yes,DSL,No,No,75.95,Credit card (automatic),Yes,Yes,0
Two year,71,Yes,Fiber optic,Yes,Yes,108.05,Electronic check,Yes,No,1
Month-to-month,1,No,Fiber optic,No,No,69.9,Electronic check,No,No,1
Month-to-month,11,No,Fiber optic,No,No,75.25,Electronic check,No,No,0
One year,62,No,Fiber optic,No,Yes,103.75,Electronic check,Yes,Yes,1
One year,35,Yes,DSL,Yes,No,54.95,Bank transfer (automatic),No,No,0
Month-to-month,20,No internet service,No,No internet service,No internet service,19.5,Bank transfer (automatic),No internet service,No internet service,0
Two year,40,No internet service,No,No internet service,No internet service,19.6,Mailed check,No internet service,No internet service,0
One year,39,No,DSL,Yes,No,47.85,Electronic check,No,No,0
Month-to-month,1,No,Fiber optic,No,No,86.6,Electronic check,Yes,No,1
Two year,72,No internet service,No,No internet service,No internet service,23.75,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,33,No,Fiber optic,No,No,80.6,Bank transfer (automatic),No,Yes,1
Month-to-month,12,No,DSL,No,No,43.8,Bank transfer (automatic),No,No,0
Month-to-month,1,No internet service,No,No internet service,No internet service,19.75,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,27,No internet service,No,No internet service,No internet service,19.15,Mailed check,No internet service,No internet service,0
One year,34,No internet service,No,No internet service,No internet service,19.6,Credit card (automatic),No internet service,No internet service,0
Two year,56,No,Fiber optic,Yes,Yes,80.3,Bank transfer (automatic),No,No,0
Two year,58,No internet service,No,No internet service,No internet service,24.35,Credit card (automatic),No internet service,No internet service,0
Two year,22,No internet service,No,No internet service,No internet service,25.25,Credit card (automatic),No internet service,No internet service,0
Two year,10,No internet service,No,No internet service,No internet service,26.1,Credit card (automatic),No internet service,No internet service,0
Two year,13,No internet service,No,No internet service,No internet service,20.0,Credit card (automatic),No internet service,No internet service,0
Month-to-month,35,Yes,Fiber optic,No,No,85.3,Credit card (automatic),No,Yes,1
Month-to-month,34,No,Fiber optic,No,No,70.0,Credit card (automatic),No,No,1
Month-to-month,4,No,Fiber optic,No,No,94.3,Electronic check,Yes,No,1
Two year,72,No internet service,No,No internet service,No internet service,20.7,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,2,Yes,DSL,No,No,70.3,Electronic check,Yes,No,0
Month-to-month,7,No,Fiber optic,No,Yes,95.35,Electronic check,Yes,No,1
Month-to-month,27,No,Fiber optic,No,No,75.5,Electronic check,No,No,1
Month-to-month,4,No,Fiber optic,No,No,69.55,Mailed check,No,No,0
Two year,37,No internet service,No,No internet service,No internet service,19.85,Mailed check,No internet service,No internet service,0
Month-to-month,21,No internet service,No,No internet service,No internet service,20.0,Mailed check,No internet service,No internet service,0
One year,53,No,Fiber optic,No,No,95.85,Credit card (automatic),Yes,No,0
Month-to-month,18,Yes,Fiber optic,No,No,90.1,Electronic check,Yes,No,1
Month-to-month,2,No,Fiber optic,No,No,68.95,Electronic check,No,No,1
Month-to-month,32,No,Fiber optic,Yes,No,99.55,Credit card (automatic),Yes,No,1
One year,23,No internet service,No,No internet service,No internet service,20.75,Electronic check,No internet service,No internet service,0
Month-to-month,3,No,DSL,Yes,No,50.15,Mailed check,No,No,0
Two year,71,Yes,DSL,Yes,No,58.65,Mailed check,Yes,Yes,0
Month-to-month,9,Yes,Fiber optic,No,No,95.9,Bank transfer (automatic),Yes,No,0
Month-to-month,1,No,DSL,No,No,49.5,Electronic check,No,Yes,0
Month-to-month,18,No,DSL,No,Yes,57.45,Electronic check,Yes,No,1
One year,12,No,DSL,No,No,53.65,Credit card (automatic),Yes,No,1
Two year,71,Yes,DSL,Yes,Yes,80.1,Mailed check,Yes,Yes,0
One year,64,No internet service,No,No internet service,No internet service,24.4,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,4,Yes,DSL,No,No,40.05,Electronic check,Yes,No,0
Month-to-month,23,No internet service,No,No internet service,No internet service,19.5,Mailed check,No internet service,No internet service,0
Month-to-month,39,No,DSL,Yes,No,51.05,Credit card (automatic),No,No,0
One year,28,Yes,DSL,Yes,No,54.35,Mailed check,No,No,0
Month-to-month,5,No,Fiber optic,No,No,84.7,Electronic check,No,Yes,0
Month-to-month,45,No,Fiber optic,No,Yes,86.1,Electronic check,Yes,No,0
Month-to-month,37,No,Fiber optic,No,No,70.35,Mailed check,No,No,0
Two year,60,Yes,Fiber optic,Yes,Yes,110.0,Bank transfer (automatic),Yes,Yes,0
Month-to-month,8,No,Fiber optic,No,Yes,100.6,Electronic check,Yes,No,1
One year,47,No,Fiber optic,Yes,Yes,94.9,Credit card (automatic),No,No,0
Month-to-month,26,No,Fiber optic,No,No,83.75,Electronic check,No,No,1
Month-to-month,3,Yes,Fiber optic,Yes,No,88.3,Mailed check,No,No,1
Month-to-month,50,No,Fiber optic,No,No,69.75,Bank transfer (automatic),No,No,0
Month-to-month,27,Yes,DSL,No,No,71.6,Bank transfer (automatic),Yes,No,0
Month-to-month,8,No,Fiber optic,No,Yes,92.1,Electronic check,Yes,No,1
Two year,62,No internet service,No,No internet service,No internet service,23.65,Bank transfer (automatic),No internet service,No internet service,0
Two year,71,Yes,DSL,Yes,Yes,81.85,Bank transfer (automatic),Yes,No,0
Two year,66,No internet service,No,No internet service,No internet service,25.1,Mailed check,No internet service,No internet service,0
Two year,68,Yes,Fiber optic,Yes,Yes,114.7,Bank transfer (automatic),Yes,Yes,0
Month-to-month,13,No,DSL,No,Yes,49.15,Electronic check,Yes,No,0
One year,56,No,Fiber optic,No,No,80.9,Electronic check,Yes,No,0
Month-to-month,38,No,Fiber optic,Yes,No,79.45,Electronic check,No,Yes,1
Month-to-month,14,No,Fiber optic,No,No,90.45,Credit card (automatic),Yes,No,1
One year,16,No internet service,No,No internet service,No internet service,19.3,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,14,No,Fiber optic,No,No,70.2,Electronic check,No,No,0
Month-to-month,32,No,Fiber optic,No,No,69.75,Bank transfer (automatic),No,No,1
One year,8,Yes,DSL,Yes,No,54.25,Bank transfer (automatic),No,No,0
Month-to-month,43,No,Fiber optic,No,Yes,99.3,Bank transfer (automatic),Yes,No,0
One year,52,Yes,DSL,Yes,Yes,74.0,Credit card (automatic),No,No,0
Month-to-month,3,Yes,DSL,No,No,50.25,Mailed check,No,No,0
One year,29,No internet service,No,No internet service,No internet service,19.8,Mailed check,No internet service,No internet service,0
Month-to-month,1,No internet service,No,No internet service,No internet service,19.65,Mailed check,No internet service,No internet service,1
Month-to-month,12,Yes,DSL,No,Yes,43.65,Electronic check,Yes,No,1
Month-to-month,16,No,DSL,No,No,35.5,Credit card (automatic),Yes,No,0
One year,40,Yes,DSL,No,Yes,80.75,Mailed check,Yes,No,0
Month-to-month,5,No,DSL,No,Yes,39.5,Electronic check,Yes,No,1
Month-to-month,40,No,Fiber optic,No,No,97.1,Bank transfer (automatic),Yes,No,1
One year,36,No internet service,No,No internet service,No internet service,19.55,Mailed check,No internet service,No internet service,0
Month-to-month,5,No,Fiber optic,No,No,80.0,Electronic check,Yes,No,1
Month-to-month,10,No,Fiber optic,Yes,No,84.7,Mailed check,No,No,1
Month-to-month,2,No,Fiber optic,No,No,89.55,Bank transfer (automatic),Yes,No,1
Month-to-month,23,Yes,Fiber optic,No,No,90.6,Electronic check,No,No,1
One year,26,No internet service,No,No internet service,No internet service,20.05,Bank transfer (automatic),No internet service,No internet service,0
Two year,72,No,Fiber optic,Yes,Yes,112.4,Electronic check,Yes,Yes,0
Month-to-month,34,Yes,DSL,No,No,50.2,Bank transfer (automatic),No,No,0
Month-to-month,10,Yes,DSL,Yes,No,62.25,Bank transfer (automatic),No,No,0
One year,14,Yes,DSL,Yes,No,55.7,Mailed check,No,No,0
Month-to-month,23,No,Fiber optic,Yes,No,90.05,Bank transfer (automatic),No,No,1
Two year,47,No internet service,No,No internet service,No internet service,19.65,Mailed check,No internet service,No internet service,0
Month-to-month,24,Yes,Fiber optic,Yes,No,89.25,Electronic check,Yes,No,0
Month-to-month,49,No,Fiber optic,No,No,99.05,Bank transfer (automatic),Yes,Yes,1
One year,20,Yes,DSL,Yes,No,54.0,Mailed check,No,No,0
Month-to-month,2,No,Fiber optic,No,No,69.75,Bank transfer (automatic),No,No,1
Month-to-month,2,No,DSL,No,No,49.05,Credit card (automatic),No,Yes,1
Two year,22,Yes,DSL,No,Yes,56.75,Bank transfer (automatic),Yes,No,0
Month-to-month,7,No,Fiber optic,No,Yes,98.05,Bank transfer (automatic),Yes,No,1
Month-to-month,1,No internet service,No,No internet service,No internet service,21.1,Mailed check,No internet service,No internet service,0
Month-to-month,59,Yes,Fiber optic,No,No,96.65,Bank transfer (automatic),Yes,Yes,0
One year,58,No internet service,No,No internet service,No internet service,24.5,Credit card (automatic),No internet service,No internet service,0
Month-to-month,41,Yes,Fiber optic,Yes,Yes,114.5,Bank transfer (automatic),Yes,Yes,1
Two year,59,No,Fiber optic,No,No,79.2,Credit card (automatic),No,Yes,0
Month-to-month,3,No,Fiber optic,No,No,69.55,Electronic check,No,No,0
Two year,32,No internet service,No,No internet service,No internet service,20.05,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,46,No,Fiber optic,No,Yes,98.85,Electronic check,Yes,No,0
Month-to-month,2,No,Fiber optic,No,No,80.95,Electronic check,Yes,No,1
One year,52,No internet service,No,No internet service,No internet service,19.6,Credit card (automatic),No internet service,No internet service,0
Month-to-month,13,No,Fiber optic,No,Yes,74.3,Electronic check,No,No,1
Month-to-month,11,No,Fiber optic,No,No,89.7,Bank transfer (automatic),Yes,No,1
Month-to-month,32,Yes,Fiber optic,Yes,No,87.65,Bank transfer (automatic),No,No,0
Month-to-month,17,No,Fiber optic,No,Yes,100.45,Credit card (automatic),Yes,No,1
Month-to-month,16,No,Fiber optic,No,No,74.75,Credit card (automatic),No,No,0
One year,51,No,Fiber optic,Yes,Yes,107.45,Bank transfer (automatic),Yes,Yes,0
One year,29,Yes,DSL,No,Yes,75.35,Bank transfer (automatic),Yes,No,0
Two year,70,Yes,DSL,Yes,Yes,64.95,Credit card (automatic),No,Yes,0
Two year,71,Yes,Fiber optic,Yes,Yes,100.45,Electronic check,Yes,No,0
One year,41,No,DSL,No,Yes,68.5,Bank transfer (automatic),No,Yes,0
Month-to-month,1,No,Fiber optic,No,No,80.55,Electronic check,No,No,0
Month-to-month,7,Yes,DSL,Yes,Yes,81.25,Bank transfer (automatic),Yes,No,0
One year,25,No,Fiber optic,No,No,90.4,Electronic check,Yes,No,1
One year,67,Yes,Fiber optic,Yes,No,89.55,Electronic check,No,Yes,0
Month-to-month,5,Yes,DSL,No,No,55.7,Mailed check,No,No,0
Month-to-month,15,No internet service,No,No internet service,No internet service,24.8,Electronic check,No internet service,No internet service,0
Month-to-month,20,No internet service,No,No internet service,No internet service,20.0,Electronic check,No internet service,No internet service,0
Month-to-month,3,No,DSL,No,Yes,56.15,Mailed check,No,Yes,1
One year,54,Yes,Fiber optic,No,No,105.2,Electronic check,Yes,Yes,0
One year,42,No internet service,No,No internet service,No internet service,19.55,Mailed check,No internet service,No internet service,0
Month-to-month,9,No,Fiber optic,No,No,79.75,Electronic check,Yes,No,0
Two year,63,No,Fiber optic,No,No,97.45,Bank transfer (automatic),Yes,Yes,0
Two year,69,No internet service,No,No internet service,No internet service,24.25,Bank transfer (automatic),No internet service,No internet service,0
Two year,69,No internet service,No,No internet service,No internet service,24.6,Credit card (automatic),No internet service,No internet service,0
Month-to-month,40,No,DSL,No,No,50.15,Mailed check,No,Yes,0
Two year,60,No,DSL,Yes,Yes,39.6,Bank transfer (automatic),No,Yes,0
Month-to-month,4,Yes,Fiber optic,Yes,Yes,94.4,Bank transfer (automatic),Yes,No,1
Two year,71,Yes,DSL,Yes,Yes,89.85,Mailed check,Yes,Yes,0
Month-to-month,37,No,Fiber optic,No,Yes,78.95,Credit card (automatic),No,No,1
Month-to-month,32,No,Fiber optic,No,No,98.85,Credit card (automatic),Yes,Yes,0
Two year,39,Yes,DSL,No,No,53.85,Credit card (automatic),No,No,0
One year,38,No internet service,No,No internet service,No internet service,24.25,Electronic check,No internet service,No internet service,0
Two year,52,No,Fiber optic,No,Yes,89.45,Credit card (automatic),Yes,No,0
Month-to-month,48,No,Fiber optic,Yes,No,105.25,Credit card (automatic),Yes,Yes,0
Two year,70,Yes,DSL,Yes,Yes,59.5,Bank transfer (automatic),Yes,No,0
Month-to-month,20,No,Fiber optic,No,No,70.55,Credit card (automatic),No,No,0
One year,50,Yes,DSL,Yes,Yes,82.5,Credit card (automatic),Yes,No,0
One year,19,No,DSL,No,No,44.85,Credit card (automatic),Yes,No,1
One year,25,No,DSL,Yes,Yes,61.6,Bank transfer (automatic),No,Yes,0
Month-to-month,12,No,DSL,No,No,49.05,Bank transfer (automatic),No,Yes,0
Month-to-month,39,No,Fiber optic,No,Yes,105.65,Electronic check,Yes,Yes,1
Month-to-month,7,No,Fiber optic,No,Yes,74.65,Mailed check,No,No,1
One year,23,Yes,DSL,Yes,Yes,66.25,Mailed check,No,Yes,0
Month-to-month,27,No internet service,No,No internet service,No internet service,19.4,Electronic check,No internet service,No internet service,0
Month-to-month,47,No,Fiber optic,No,No,86.05,Credit card (automatic),No,No,0
Two year,26,No internet service,No,No internet service,No internet service,19.15,Credit card (automatic),No internet service,No internet service,0
Month-to-month,14,No,DSL,Yes,No,64.7,Bank transfer (automatic),No,No,1
Month-to-month,11,Yes,Fiber optic,No,Yes,104.05,Bank transfer (automatic),Yes,No,1
Month-to-month,2,No internet service,No,No internet service,No internet service,19.25,Mailed check,No internet service,No internet service,0
Month-to-month,26,No,Fiber optic,Yes,No,81.95,Electronic check,No,Yes,0
Two year,72,Yes,Fiber optic,Yes,Yes,114.65,Bank transfer (automatic),Yes,Yes,0
Two year,63,No internet service,No,No internet service,No internet service,20.0,Credit card (automatic),No internet service,No internet service,0
Two year,71,No internet service,No,No internet service,No internet service,19.8,Mailed check,No internet service,No internet service,0
Month-to-month,11,No,DSL,Yes,No,65.15,Bank transfer (automatic),No,No,0
One year,14,No internet service,No,No internet service,No internet service,19.65,Mailed check,No internet service,No internet service,0
Two year,13,Yes,DSL,Yes,Yes,88.95,Credit card (automatic),Yes,Yes,0
Month-to-month,6,No internet service,No,No internet service,No internet service,20.2,Mailed check,No internet service,No internet service,0
Month-to-month,11,No,Fiber optic,No,No,75.2,Credit card (automatic),No,No,0
Month-to-month,18,No,DSL,No,No,56.8,Credit card (automatic),No,Yes,0
Month-to-month,1,No,DSL,No,No,35.55,Electronic check,Yes,No,1
Month-to-month,32,No,Fiber optic,Yes,No,75.5,Bank transfer (automatic),No,No,0
One year,29,Yes,DSL,Yes,No,35.6,Mailed check,No,No,0
Month-to-month,3,No,DSL,No,No,60.25,Electronic check,No,No,0
Month-to-month,2,No,Fiber optic,No,No,95.15,Electronic check,Yes,No,1
Month-to-month,13,No,Fiber optic,No,Yes,96.65,Mailed check,Yes,No,1
Month-to-month,41,No,DSL,No,No,40.35,Electronic check,Yes,Yes,0
Month-to-month,1,No internet service,No,No internet service,No internet service,18.85,Electronic check,No internet service,No internet service,0
Month-to-month,7,No,DSL,No,No,54.85,Mailed check,No,No,0
One year,52,No,DSL,Yes,Yes,64.3,Mailed check,No,No,0
Two year,45,No internet service,No,No internet service,No internet service,24.65,Bank transfer (automatic),No internet service,No internet service,0
Two year,70,Yes,DSL,No,Yes,76.1,Credit card (automatic),No,Yes,0
Two year,53,No internet service,No,No internet service,No internet service,18.7,Mailed check,No internet service,No internet service,0
One year,62,No,Fiber optic,No,Yes,97.95,Credit card (automatic),No,Yes,0
Month-to-month,60,No,Fiber optic,Yes,No,94.1,Credit card (automatic),Yes,Yes,0
Month-to-month,3,No,Fiber optic,No,No,80.4,Electronic check,No,No,1
Month-to-month,23,No,Fiber optic,Yes,No,95.1,Electronic check,Yes,No,0
Month-to-month,1,No,DSL,No,No,31.35,Mailed check,No,Yes,1
One year,67,Yes,DSL,Yes,Yes,72.35,Bank transfer (automatic),Yes,No,0
Month-to-month,12,No,Fiber optic,No,No,89.75,Bank transfer (automatic),No,Yes,1
Two year,71,Yes,DSL,Yes,Yes,82.7,Bank transfer (automatic),Yes,Yes,0
One year,25,No internet service,No,No internet service,No internet service,19.9,Credit card (automatic),No internet service,No internet service,0
Month-to-month,5,No,DSL,Yes,No,53.8,Electronic check,No,No,0
One year,26,No,DSL,No,No,51.55,Credit card (automatic),No,No,0
One year,1,No internet service,No,No internet service,No internet service,19.65,Mailed check,No internet service,No internet service,0
One year,70,No,DSL,No,Yes,44.05,Credit card (automatic),No,Yes,0
Two year,72,Yes,Fiber optic,Yes,Yes,114.0,Electronic check,Yes,Yes,0
One year,60,No,Fiber optic,No,No,94.4,Electronic check,Yes,Yes,1
Month-to-month,32,No,Fiber optic,No,No,100.4,Electronic check,Yes,Yes,0
Month-to-month,1,No internet service,No,No internet service,No internet service,19.85,Electronic check,No internet service,No internet service,1
One year,14,No,DSL,No,No,54.25,Mailed check,No,Yes,0
Month-to-month,13,No,Fiber optic,Yes,No,80.0,Credit card (automatic),No,No,0
Month-to-month,6,Yes,Fiber optic,No,Yes,109.9,Credit card (automatic),Yes,Yes,1
Two year,46,No,DSL,Yes,Yes,79.2,Mailed check,Yes,No,0
Month-to-month,15,Yes,Fiber optic,No,Yes,101.35,Electronic check,Yes,No,1
Month-to-month,43,Yes,Fiber optic,No,No,94.3,Electronic check,No,Yes,0
Two year,39,Yes,DSL,No,No,49.8,Bank transfer (automatic),No,No,0
Month-to-month,21,No,DSL,No,Yes,60.05,Bank transfer (automatic),No,No,1
Month-to-month,57,No,DSL,Yes,Yes,53.75,Electronic check,Yes,No,0
One year,53,Yes,Fiber optic,No,No,93.45,Electronic check,Yes,No,0
Month-to-month,18,No,Fiber optic,Yes,Yes,87.9,Mailed check,No,No,0
Month-to-month,1,No,DSL,No,No,60.15,Electronic check,Yes,No,1
One year,58,Yes,DSL,Yes,No,61.05,Bank transfer (automatic),No,No,0
Two year,71,No,Fiber optic,No,Yes,104.05,Bank transfer (automatic),Yes,No,0
One year,35,Yes,Fiber optic,No,Yes,99.25,Electronic check,Yes,No,0
Month-to-month,3,No,Fiber optic,No,Yes,85.7,Credit card (automatic),Yes,No,0
One year,38,No,Fiber optic,Yes,No,104.85,Electronic check,Yes,Yes,0
Two year,35,Yes,DSL,Yes,Yes,69.15,Credit card (automatic),No,Yes,0
Month-to-month,7,No,Fiber optic,No,Yes,90.45,Electronic check,No,No,1
Two year,47,Yes,DSL,No,Yes,74.45,Mailed check,Yes,No,0
Month-to-month,14,No,DSL,No,No,50.45,Electronic check,No,Yes,0
Month-to-month,20,No,DSL,No,No,60.0,Electronic check,Yes,Yes,0
Two year,66,Yes,DSL,Yes,No,85.25,Electronic check,Yes,Yes,0
Month-to-month,15,No internet service,No,No internet service,No internet service,19.45,Credit card (automatic),No internet service,No internet service,0
Two year,42,No internet service,No,No internet service,No internet service,20.75,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,17,No,Fiber optic,Yes,No,78.9,Electronic check,No,No,0
One year,37,Yes,Fiber optic,No,No,104.5,Credit card (automatic),Yes,Yes,0
Month-to-month,12,No,DSL,No,No,49.4,Electronic check,No,Yes,0
One year,53,No,Fiber optic,No,No,94.25,Bank transfer (automatic),Yes,Yes,1
Two year,60,No internet service,No,No internet service,No internet service,25.0,Mailed check,No internet service,No internet service,0
Month-to-month,18,No,DSL,No,No,25.55,Credit card (automatic),No,No,0
Month-to-month,1,No,Fiber optic,No,No,74.9,Electronic check,No,No,1
Month-to-month,3,No,Fiber optic,No,No,70.15,Electronic check,No,No,0
Month-to-month,9,Yes,DSL,No,No,69.4,Credit card (automatic),Yes,No,0
Month-to-month,1,No,Fiber optic,No,No,80.25,Electronic check,No,No,1
One year,56,No,Fiber optic,Yes,Yes,93.15,Electronic check,No,Yes,0
Month-to-month,17,No,Fiber optic,No,No,69.0,Electronic check,No,No,1
